 1 13 tsp_tests\ex13.txt  4     60,025 3158      28593     0,107    - 13 7 12 6 5 4 3 2 1 10 9 11 8 
 2 13 tsp_tests\ex13.txt  4     60,033 3158       9530     0,033    - 10 9 11 8 13 7 12 6 5 4 3 2 1 
 3 13 tsp_tests\ex13.txt  4     60,015 3158      45196     0,161    - 11 8 13 7 12 6 5 4 3 2 1 10 9 
 4 13 tsp_tests\ex13.txt  4     60,024 3158      59150     0,226    - 6 12 7 13 8 11 9 10 1 2 3 4 5 
 5 13 tsp_tests\ex13.txt  4     60,012 3158     242859     0,715    - 8 11 9 10 1 2 3 4 5 6 12 7 13 
 6 13 tsp_tests\ex13.txt  4     60,011 3158      48220     0,172    - 7 13 8 11 9 10 1 2 3 4 5 6 12 
 7 13 tsp_tests\ex13.txt  4     60,025 3158     283973     1,076    - 11 9 10 1 2 3 4 5 6 12 7 13 8 
 8 13 tsp_tests\ex13.txt  4     60,016 3158       2773     0,012    - 11 8 13 7 12 6 5 4 3 2 1 10 9 
 9 13 tsp_tests\ex13.txt  4     60,017 3158       6569     0,010    - 6 5 4 3 2 1 10 9 11 8 13 7 12 
10 13 tsp_tests\ex13.txt  4     60,027 3171      11532     0,031    - 13 11 9 10 8 1 2 3 4 5 6 12 7 
Optimal found 9 times   Average = 3159,3   Std Dev = 3,9  
