 1 15 tsp_tests\lau15.txt  4     30,024  291      85929     0,323     - 6 4 11 1 13 2 15 9 5 7 3 12 14 10 8 
 2 15 tsp_tests\lau15.txt  4     30,010  291      39156     0,117     - 13 2 15 9 5 7 3 12 14 10 8 6 4 11 1 
 3 15 tsp_tests\lau15.txt  4     30,037  291      17454     0,063     - 8 10 14 12 3 7 5 9 15 2 13 1 11 4 6 
 4 15 tsp_tests\lau15.txt  4     30,022  291      14241     0,053     - 12 14 10 8 6 4 11 1 13 2 15 9 5 7 3 
 5 15 tsp_tests\lau15.txt  4     30,022  291     303399     1,067     - 11 4 6 8 10 14 12 3 7 5 9 15 2 13 1 
 6 15 tsp_tests\lau15.txt  4     30,005  291       9754     0,036     - 3 12 14 10 8 6 4 11 1 13 2 15 9 5 7 
 7 15 tsp_tests\lau15.txt  4     30,013  291     190360     0,680     - 12 3 7 5 9 15 2 13 1 11 4 6 8 10 14 
 8 15 tsp_tests\lau15.txt  4     30,011  291    1405473     5,020     - 11 1 13 2 15 9 5 7 3 12 14 10 8 6 4 
 9 15 tsp_tests\lau15.txt  4     30,013  291      32249     0,124     - 1 11 4 6 8 10 14 12 3 7 5 9 15 2 13 
10 15 tsp_tests\lau15.txt  4     30,018  291      27574     0,109     - 10 14 12 3 7 5 9 15 2 13 1 11 4 6 8 
Optimal found 10 times   Average = 291,0   Std Dev = 0,0 
