 1 16 tsp_tests\ulysses16.txt  4     60,083 6859     284788     0,937     - 15 6 7 12 13 14 1 8 4 2 3 16 10 9 11 5 
 2 16 tsp_tests\ulysses16.txt  4     60,036 6859    2763982    10,205     - 13 12 7 6 15 5 11 9 10 16 3 2 4 8 1 14 
 3 16 tsp_tests\ulysses16.txt  4     60,026 6859     995841     3,708     - 16 3 2 4 8 1 14 13 12 7 6 15 5 11 9 10 
 4 16 tsp_tests\ulysses16.txt  4     60,006 6859    1421592     5,317     - 8 4 2 3 16 10 9 11 5 15 6 7 12 13 14 1 
 5 16 tsp_tests\ulysses16.txt  4     60,021 6859    1324120     4,795     - 14 1 8 4 2 3 16 10 9 11 5 15 6 7 12 13 
 6 16 tsp_tests\ulysses16.txt  4     60,017 6859     684444     2,434     - 6 15 5 11 9 10 16 3 2 4 8 1 14 13 12 7 
 7 16 tsp_tests\ulysses16.txt  4     60,015 6859     668296     2,477     - 8 4 2 3 16 10 9 11 5 15 6 7 12 13 14 1 
 8 16 tsp_tests\ulysses16.txt  4     60,018 6859     333645     1,242     - 13 12 7 6 15 5 11 9 10 16 3 2 4 8 1 14 
 9 16 tsp_tests\ulysses16.txt  4     60,010 6859    3034955    11,283     - 3 2 4 8 1 14 13 12 7 6 15 5 11 9 10 16 
10 16 tsp_tests\ulysses16.txt  4     60,017 6859    1004086     3,693     - 15 6 7 12 13 14 1 8 4 2 3 16 10 9 11 5 
Optimal found 10 times   Average = 6859,0   Std Dev = 0,0  
