 1 14 tsp_tests\burma14.txt  4     60,014 3323      33845     0,120     - 1 10 9 11 8 13 7 12 6 5 4 3 14 2 
 2 14 tsp_tests\burma14.txt  4     60,009 3323     337639     1,036     - 3 4 5 6 12 7 13 8 11 9 10 1 2 14 
 3 14 tsp_tests\burma14.txt  4     60,011 3323      76860     0,283     - 13 8 11 9 10 1 2 14 3 4 5 6 12 7 
 4 14 tsp_tests\burma14.txt  4     60,018 3323     286701     1,015     - 3 4 5 6 12 7 13 8 11 9 10 1 2 14 
 5 14 tsp_tests\burma14.txt  4     60,026 3323     261626     0,974     - 1 2 14 3 4 5 6 12 7 13 8 11 9 10 
 6 14 tsp_tests\burma14.txt  4     60,011 3323     569668     2,019     - 3 14 2 1 10 9 11 8 13 7 12 6 5 4 
 7 14 tsp_tests\burma14.txt  4     60,005 3323     182280     0,632     - 1 2 14 3 4 5 6 12 7 13 8 11 9 10 
 8 14 tsp_tests\burma14.txt  4     60,012 3336      14040     0,050     - 4 5 6 12 7 13 11 9 10 8 1 2 14 3 
 9 14 tsp_tests\burma14.txt  4     60,011 3323    1391552     4,608     - 13 8 11 9 10 1 2 14 3 4 5 6 12 7 
10 14 tsp_tests\burma14.txt  4     60,019 3323     171734     0,634     - 8 11 9 10 1 2 14 3 4 5 6 12 7 13 
Optimal found 9 times   Average = 3324,3   Std Dev = 3,9  
