 1 26 tsp_tests\fri26.txt  4    300,022  960   20388041    81,209     - 4 6 5 7 8 9 10 11 13 12 16 19 20 18 17 21 22 26 23 24 25 1 15 14 3 2 
 2 26 tsp_tests\fri26.txt  4    300,008  955    8298092    29,219     - 9 7 8 16 19 20 18 17 21 22 26 23 24 25 1 2 4 6 5 3 14 15 13 12 11 10 
 3 26 tsp_tests\fri26.txt  4    300,006  972   62735570   219,547     - 1 3 15 14 10 11 13 12 25 24 23 26 22 21 17 18 20 19 16 9 8 7 5 6 4 2 
 4 26 tsp_tests\fri26.txt  4    300,017  937   43448801   137,069     - 2 3 4 6 5 7 8 9 10 14 15 13 12 11 16 19 20 18 17 21 22 26 23 24 25 1 
 5 26 tsp_tests\fri26.txt  4    300,027  955   13751271    44,030     - 16 10 14 15 13 12 11 9 8 7 5 6 4 3 2 1 25 24 23 26 22 21 17 18 20 19 
 6 26 tsp_tests\fri26.txt  4    300,023  937   30270483    98,701     - 3 4 6 5 7 8 9 10 14 15 12 13 11 16 19 20 18 17 21 22 26 23 24 25 1 2 
 7 26 tsp_tests\fri26.txt  4    300,008  937   54200147   180,297     - 21 22 26 23 24 25 1 2 3 4 6 5 7 8 9 10 14 15 13 12 11 16 19 20 18 17 
 8 26 tsp_tests\fri26.txt  4    300,007  937   54721196   183,800     - 10 9 8 7 5 6 4 3 2 1 25 24 23 26 22 21 17 18 20 19 16 11 13 12 15 14 
 9 26 tsp_tests\fri26.txt  4    300,015  955   74864606   249,449     - 9 10 11 12 13 15 14 3 5 6 4 2 1 25 24 23 26 22 21 17 18 20 19 16 8 7 
10 26 tsp_tests\fri26.txt  4    300,011  937   87533212   288,109     - 7 5 6 4 3 2 1 25 24 23 26 22 21 17 18 20 19 16 11 13 12 15 14 10 9 8 
Optimal found 5 times   Average = 948,2   Std Dev = 12,1 
