 1 17 tsp_tests\gr17.txt  4     60,024 2085     338501     1,103     - 12 9 5 2 10 11 3 15 14 17 6 8 7 13 4 1 16 
 2 17 tsp_tests\gr17.txt  4     60,041 2085      51045     0,159     - 17 6 8 7 13 4 1 16 12 9 5 2 10 11 3 15 14 
 3 17 tsp_tests\gr17.txt  4     60,033 2085     827689     2,980     - 8 7 13 4 1 16 12 9 5 2 10 11 3 15 14 17 6 
 4 17 tsp_tests\gr17.txt  4     60,014 2085    2976380    10,689     - 16 12 9 5 2 10 11 3 15 14 17 6 8 7 13 4 1 
 5 17 tsp_tests\gr17.txt  4     60,019 2085    2115896     7,661     - 4 1 16 12 9 5 2 10 11 3 15 14 17 6 8 7 13 
 6 17 tsp_tests\gr17.txt  4     60,026 2085    1338882     4,902     - 10 11 3 15 14 17 6 8 7 13 4 1 16 12 9 5 2 
 7 17 tsp_tests\gr17.txt  4     60,015 2085     252558     0,909     - 5 9 12 16 1 4 13 7 8 6 17 14 15 3 11 10 2 
 8 17 tsp_tests\gr17.txt  4     60,011 2085    1353355     4,572     - 11 3 15 14 17 6 8 7 13 4 1 16 12 9 5 2 10 
 9 17 tsp_tests\gr17.txt  4     60,032 2085    4965136    17,160     - 3 15 14 17 6 8 7 13 4 1 16 12 9 5 2 10 11 
10 17 tsp_tests\gr17.txt  4     60,012 2085    8783343    30,239     - 7 13 4 1 16 12 9 5 2 10 11 3 15 14 17 6 8 
Optimal found 10 times   Average = 2085,0   Std Dev = 0,0  
