 1 12 tsp_tests\uk12.txt  4     60,016 1733     158541     0,502     - 4 12 8 6 1 10 3 5 11 7 9 2 
 2 12 tsp_tests\uk12.txt  4     60,011 1733      84608     0,174     - 4 12 8 6 1 10 3 5 11 7 9 2 
 3 12 tsp_tests\uk12.txt  4     60,016 1733     500275     1,715     - 4 12 8 6 1 10 3 5 11 7 9 2 
 4 12 tsp_tests\uk12.txt  4     60,015 1733     164022     0,582     - 5 3 10 1 6 8 12 4 2 9 7 11 
 5 12 tsp_tests\uk12.txt  4     60,006 1733    9446336    32,243     - 7 11 5 3 10 1 6 8 12 4 2 9 
 6 12 tsp_tests\uk12.txt  4     60,012 1733    5558245    19,709     - 7 9 2 4 12 8 6 1 10 3 5 11 
 7 12 tsp_tests\uk12.txt  4     60,036 1733      73738     0,264     - 9 2 4 12 8 6 1 10 3 5 11 7 
 8 12 tsp_tests\uk12.txt  4     60,016 1733    3586728    12,077     - 8 6 1 10 3 5 11 7 9 2 4 12 
 9 12 tsp_tests\uk12.txt  4     60,006 1800       1084     0,005     - 6 1 10 11 2 4 9 7 3 5 12 8 
10 12 tsp_tests\uk12.txt  4     60,023 1733     112444     0,384     - 2 4 12 8 6 1 10 3 5 11 7 9 
Optimal found 9 times   Average = 1739.7   Std Dev = 20.1  
