 1 22 tsp_tests\ulysses22.txt  4     60,006 7013    1335927     4,571     - 18 4 22 17 2 3 16 21 20 19 10 9 11 5 15 6 7 12 13 14 1 8 
 2 22 tsp_tests\ulysses22.txt  4     60,014 7013    1922615     6,425     - 6 7 12 13 14 1 8 18 4 22 17 2 3 16 21 20 19 10 9 11 5 15 
 3 22 tsp_tests\ulysses22.txt  4     60,008 7013   12618564    41,348     - 6 15 5 11 9 10 19 20 21 16 3 2 17 22 4 18 8 1 14 13 12 7 
 4 22 tsp_tests\ulysses22.txt  4     60,018 7013   14965557    50,556     - 20 21 16 3 2 17 22 4 18 8 1 14 13 12 7 6 15 5 11 9 10 19 
 5 22 tsp_tests\ulysses22.txt  4     60,022 7013    1352093     4,510     - 19 20 21 16 3 2 17 22 4 18 8 1 14 13 12 7 6 15 5 11 9 10 
 6 22 tsp_tests\ulysses22.txt  4     60,007 7013     432538     1,329     - 15 5 11 9 10 19 20 21 16 3 2 17 22 4 18 8 1 14 13 12 7 6 
 7 22 tsp_tests\ulysses22.txt  4     60,004 7013    7815015    27,122     - 19 20 21 16 3 2 17 22 4 18 8 1 14 13 12 7 6 15 5 11 9 10 
 8 22 tsp_tests\ulysses22.txt  4     60,001 7013    1842082     5,931     - 22 17 2 3 16 21 20 19 10 9 11 5 15 6 7 12 13 14 1 8 18 4 
 9 22 tsp_tests\ulysses22.txt  4     60,008 7013    5831835    19,788     - 9 10 19 20 21 16 3 2 17 22 4 18 8 1 14 13 12 7 6 15 5 11 
10 22 tsp_tests\ulysses22.txt  4     60,027 7013    8528909    29,633     - 7 12 13 14 1 8 18 4 22 17 2 3 16 21 20 19 10 9 11 5 15 6 
Optimal found 10 times   Average = 7013,0   Std Dev = 0,0  
