 1 42 tsp_tests\dantzig42.txt  4   1800,008  699   70925645   181,435     - 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 1 2 
 2 42 tsp_tests\dantzig42.txt  4   1800,001  739  144714353   368,690     - 19 20 21 17 23 22 24 25 27 26 31 30 28 29 33 32 34 35 36 37 38 39 40 41 42 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 
 3 42 tsp_tests\dantzig42.txt  4   1800,003  752  134904609   337,906     - 23 27 28 29 33 32 30 31 6 34 35 36 37 38 39 40 41 42 1 2 3 4 5 7 8 9 10 25 26 24 11 12 13 14 15 16 17 18 19 20 21 22 
 4 42 tsp_tests\dantzig42.txt  4   1800,000  749  314262861   770,893     - 25 26 27 24 9 8 3 4 7 6 5 2 1 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 22 23 17 13 14 15 16 18 19 20 21 11 12 10 
 5 42 tsp_tests\dantzig42.txt  4   1800,000  732  536543358   1330,630     - 17 16 15 14 13 12 10 9 8 7 6 3 4 5 40 41 1 42 2 39 38 37 36 35 34 31 30 32 33 29 28 26 27 25 24 11 23 22 21 20 19 18 
 6 42 tsp_tests\dantzig42.txt  4   1800,012  717  333728383   837,261     - 28 29 33 32 30 31 34 35 36 37 38 39 40 41 42 1 2 3 4 5 6 7 8 9 10 25 24 26 27 22 23 11 12 13 14 15 16 17 18 19 20 21 
 7 42 tsp_tests\dantzig42.txt  4   1800,014  717   68131589   170,974     - 9 10 25 23 22 21 20 19 18 17 16 15 14 13 12 11 24 27 26 28 29 33 32 30 31 34 35 36 37 38 39 40 41 42 1 2 3 4 5 6 7 8 
 8 42 tsp_tests\dantzig42.txt  4   1800,000  721  488480221   1212,984     - 38 39 40 41 1 42 2 3 4 5 6 7 8 9 10 12 11 23 22 21 20 19 18 16 15 14 13 17 24 25 26 27 28 29 30 31 32 33 34 35 36 37 
 9 42 tsp_tests\dantzig42.txt  4   1800,027  712  193905511   485,386     - 31 30 29 28 26 27 24 11 12 13 14 15 16 17 18 19 20 21 22 23 25 10 9 8 7 6 5 4 3 2 1 42 41 40 39 38 37 36 35 34 33 32 
10 42 tsp_tests\dantzig42.txt  4   1800,012  731  444995380   1086,071     - 6 3 4 5 40 41 42 1 2 39 38 37 36 35 34 33 32 31 30 26 27 28 29 21 20 19 18 16 15 14 13 17 22 23 12 11 24 25 10 9 8 7 
Optimal found 1 time   Average = 726,9   Std Dev = 15,9  
