 1 24 tsp_tests\gr24.txt  4    120,016 1279   23373631    75,228     - 5 21 24 6 8 7 3 11 16 1 12 4 23 9 13 14 20 2 15 19 22 18 17 10 
 2 24 tsp_tests\gr24.txt  4    120,015 1272    7764544    26,249     - 10 5 21 8 24 6 7 3 11 16 1 12 4 23 9 13 14 20 2 15 19 22 18 17 
 3 24 tsp_tests\gr24.txt  4    120,021 1272   25931848    88,133     - 2 15 19 22 18 17 10 5 21 8 24 6 7 3 11 16 1 12 4 23 9 13 14 20 
 4 24 tsp_tests\gr24.txt  4    120,004 1272    2429315     8,147     - 16 11 3 7 6 24 8 21 5 10 17 18 22 19 15 2 20 14 13 9 23 4 12 1 
 5 24 tsp_tests\gr24.txt  4    120,038 1272    5706161    19,296     - 16 11 3 7 6 24 8 21 5 10 17 18 22 19 15 2 20 14 13 9 23 4 12 1 
 6 24 tsp_tests\gr24.txt  4    120,017 1289    3054892    10,453     - 9 13 14 20 2 15 19 22 18 17 10 5 21 3 11 7 8 24 6 16 1 12 4 23 
 7 24 tsp_tests\gr24.txt  4    120,013 1279   16991612    61,055     - 2 20 14 13 9 23 4 12 1 16 11 3 7 8 6 24 21 5 10 17 18 22 19 15 
 8 24 tsp_tests\gr24.txt  4    120,017 1272    8119511    29,530     - 22 19 15 2 20 14 13 9 23 4 12 1 16 11 3 7 6 24 8 21 5 10 17 18 
 9 24 tsp_tests\gr24.txt  4    120,011 1279   21001037    74,615     - 20 2 15 19 18 22 17 10 5 21 24 6 7 8 3 11 16 1 12 4 23 9 13 14 
10 24 tsp_tests\gr24.txt  4    120,004 1272   24554563    86,615     - 9 13 14 20 2 15 19 18 22 17 10 5 21 8 24 6 7 3 11 16 1 12 4 23 
Optimal found 7 times   Average = 1275,1   Std Dev = 5,4  
